,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
113011,2,2016-06-01 04:41:16,2016-06-01 05:12:32,1,20.47,-73.97921752929686,40.78158950805664,2,N,-73.7911605834961,40.64582824707031,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
113044,1,2016-06-01 03:14:07,2016-06-01 03:32:45,1,15.3,-73.9709243774414,40.7459831237793,2,N,-73.78240966796875,40.64419555664063,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
113167,1,2016-06-01 04:41:25,2016-06-01 05:08:43,1,17.2,-73.9625701904297,40.76968383789063,2,N,-73.78294372558594,40.64396667480469,1,52.0,0.0,0.5,10.55,0.0,0.3,63.35
113177,2,2016-06-01 04:41:36,2016-06-01 05:11:55,1,17.27,-73.98607635498048,40.75899887084961,2,N,-73.78620910644531,40.64345932006836,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
113298,1,2016-06-01 03:37:10,2016-06-01 04:00:22,1,17.3,-73.99193572998048,40.73535537719727,2,N,-73.7873306274414,40.64751815795898,3,52.0,0.0,0.5,0.0,5.54,0.3,58.34
113376,1,2016-06-01 03:16:48,2016-06-01 03:42:17,2,17.1,-73.97772979736328,40.75524520874024,2,N,-73.78999328613281,40.64695739746094,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
113419,1,2016-06-01 04:08:31,2016-06-01 04:30:23,1,16.3,-73.98423767089844,40.74922943115234,2,N,-73.79007720947266,40.646839141845696,1,52.0,0.0,0.5,10.0,5.54,0.3,68.34
113504,1,2016-06-01 04:44:48,2016-06-01 05:09:37,1,20.9,-73.96179962158203,40.755531311035156,5,N,-73.78098297119139,40.646648406982415,1,52.0,0.0,0.0,10.0,5.54,0.3,67.84
113567,2,2016-06-01 04:45:36,2016-06-01 05:15:37,1,17.86,-73.99417877197266,40.75577163696289,2,N,-73.79054260253906,40.64409637451172,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36
113579,2,2016-06-01 04:46:02,2016-06-01 05:14:38,6,17.02,-73.97799682617188,40.762020111083984,2,N,-73.78231048583984,40.64427947998047,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8
113585,1,2016-06-01 04:08:53,2016-06-01 04:38:19,1,21.0,-73.96273040771484,40.77223205566406,2,N,-73.78292083740234,40.64393615722656,1,52.0,0.0,0.5,5.0,5.54,0.3,63.34
113586,2,2016-06-01 04:08:54,2016-06-01 04:40:23,2,20.56,-73.9765625,40.776668548583984,2,N,-73.78560638427734,40.64324188232422,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
113691,1,2016-06-01 05:14:24,2016-06-01 05:43:30,1,16.9,-73.96515655517578,40.75934219360352,2,N,-73.79035186767578,40.646785736083984,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
